,Timestamp,SourceIP,SourcePort,DPort,Status
282,3203923,116.106.36.243,60418,23,BLOCK
283,3203979,77.72.85.18,42277,13510,BLOCK
284,3203988,187.10.98.43,30261,23,BLOCK
285,3204016,77.72.85.18,42277,21445,BLOCK
286,3204044,54.37.65.142,49904,22,AUDIT
287,3204086,77.72.85.18,42277,12205,BLOCK
288,3204102,198.211.117.56,0,0,ALLOW
289,3204119,77.72.85.18,42277,20198,BLOCK
290,3204124,77.72.82.22,52866,40,BLOCK
291,3204148,77.72.85.18,42277,32363,BLOCK
292,3204157,221.229.166.130,4563,8080,BLOCK
293,3204159,77.72.85.18,42277,12443,BLOCK
294,3204176,178.159.37.99,48645,3128,BLOCK
295,3204247,77.72.85.18,42277,4397,BLOCK
296,3204294,51.15.71.134,18780,8094,BLOCK
297,3204321,85.93.20.34,41623,13391,BLOCK
298,3204563,77.72.85.18,42277,33173,BLOCK
299,3204586,5.188.86.22,56777,7657,BLOCK
300,3204634,77.72.85.18,42277,11442,BLOCK
301,3204641,34.215.144.83,40868,22,AUDIT
302,3204690,171.80.202.105,36940,2323,BLOCK
303,3204691,103.69.197.1,53570,445,AUDIT
304,3204718,77.72.85.18,42277,16891,BLOCK
305,3204738,47.23.70.10,14363,2323,BLOCK
306,3204752,118.170.82.194,6780,23,BLOCK
307,3204773,77.72.85.18,42277,40907,BLOCK
308,3204780,5.188.86.22,56777,4444,BLOCK
309,3204792,192.115.101.100,31795,445,AUDIT
310,3204810,77.72.85.18,42277,31528,BLOCK
311,3204821,118.69.109.162,37869,445,AUDIT
312,3204857,77.72.85.18,42277,27294,BLOCK
313,3204864,208.100.26.228,47320,8086,BLOCK
314,3204919,77.72.85.18,42277,13267,BLOCK
315,3204920,186.137.116.141,39400,23,BLOCK
316,3204929,77.72.85.18,42277,27372,BLOCK
317,3204929,5.188.9.25,41696,33392,BLOCK
318,3204966,185.143.223.152,51211,5900,BLOCK
319,3205027,77.72.85.18,42277,39848,BLOCK
320,3205101,181.214.87.14,53937,33338,BLOCK
321,3205102,220.128.232.114,42073,23,BLOCK
322,3205134,77.72.85.18,42277,33444,BLOCK
323,3205149,185.222.211.84,43952,3415,BLOCK
324,3205179,77.72.85.18,42277,42827,BLOCK
325,3205230,185.22.153.79,5177,5060,BLOCK
326,3205259,109.248.9.4,40615,5861,BLOCK
327,3205274,89.248.168.14,65534,8545,BLOCK
328,3205283,77.72.85.18,42277,52950,BLOCK
329,3205302,106.75.18.144,49863,9000,BLOCK
330,3205304,109.248.9.4,40615,5745,BLOCK
331,3205388,77.72.85.18,42277,53371,BLOCK
332,3205414,77.72.82.125,59852,7789,BLOCK
333,3205446,77.72.85.18,42277,3827,BLOCK
334,3205469,222.186.129.68,6000,3306,BLOCK
335,3205471,77.72.85.18,42277,27459,BLOCK
336,3205477,185.56.81.54,41616,5900,BLOCK
337,3205486,1.55.165.226,61529,445,AUDIT
338,3205487,77.72.82.135,47039,2252,BLOCK
339,3205492,77.72.85.18,42277,37297,BLOCK
340,3205492,1.55.165.226,61529,445,AUDIT
341,3205503,51.15.9.156,40534,443,AUDIT
342,3205506,196.52.43.121,6666,2483,BLOCK
343,3205548,77.72.85.18,42277,56853,BLOCK
344,3205555,77.72.82.22,52866,766,BLOCK
345,3205610,77.72.85.18,42277,58453,BLOCK
346,3205625,151.40.172.174,50687,22,AUDIT
347,3205638,77.72.85.18,42277,41068,BLOCK
348,3205646,103.54.218.178,14998,445,AUDIT
349,3205709,196.52.43.105,6666,2001,BLOCK
350,3205732,77.72.85.18,42277,31060,BLOCK
351,3205735,5.188.86.22,56777,3371,BLOCK
352,3205784,77.72.85.18,42277,4562,BLOCK
353,3205786,83.18.87.218,51463,445,AUDIT
354,3205828,77.72.85.18,42277,59348,BLOCK
355,3205828,146.0.77.142,55665,33314,BLOCK
356,3205839,201.44.178.179,51011,23,BLOCK
357,3205990,77.72.85.18,42277,33713,BLOCK
358,3205991,51.15.146.174,5353,5060,BLOCK
359,3206004,77.72.82.147,49640,1545,BLOCK
360,3206018,121.29.157.125,26771,1433,BLOCK
361,3206028,77.72.85.18,42277,52514,BLOCK
362,3206037,197.245.231.188,63720,445,AUDIT
363,3206096,122.226.181.165,40312,22,AUDIT
364,3206132,77.72.85.18,42277,21369,BLOCK
365,3206150,198.211.117.56,0,0,ALLOW
366,3206202,77.72.85.18,42277,50873,BLOCK
367,3206231,95.253.154.130,56190,22,AUDIT
368,3206262,77.72.85.18,42277,51375,BLOCK
369,3206267,89.149.75.108,8961,23,BLOCK
370,3206276,77.72.85.18,42277,14209,BLOCK
371,3206298,183.141.51.172,44361,1433,BLOCK
372,3206298,218.91.210.142,15502,23,BLOCK
373,3206313,178.47.173.208,32975,2323,BLOCK
374,3206334,77.72.85.18,42277,47252,BLOCK
375,3206387,185.130.212.167,60000,53389,BLOCK
376,3206396,221.194.44.211,60745,22,AUDIT
377,3206396,77.72.85.18,42277,39859,BLOCK
378,3206404,192.241.168.215,45376,88,BLOCK
379,3206438,217.25.238.84,34431,52869,BLOCK
380,3206446,77.72.85.18,42277,58899,BLOCK
381,3206456,80.82.77.33,14166,6666,BLOCK
382,3206464,1.9.111.161,40218,22,AUDIT
383,3206502,122.226.181.167,34328,22,AUDIT
384,3206538,77.72.85.18,42277,14932,BLOCK
385,3206557,5.188.11.25,49629,20522,BLOCK
386,3206568,51.15.93.50,17968,5060,BLOCK
387,3206590,77.72.85.18,42277,19830,BLOCK
388,3206611,198.211.117.56,0,0,ALLOW
389,3206638,77.72.85.18,42277,37431,BLOCK
390,3206641,77.72.82.57,56925,6073,BLOCK
391,3206661,77.72.85.18,42277,35656,BLOCK
392,3206667,77.72.82.57,56936,2598,BLOCK
393,3206667,77.72.85.18,42277,40057,BLOCK
394,3206668,107.170.227.111,48706,137,BLOCK
395,3206733,77.72.85.18,42277,57788,BLOCK
396,3206738,195.181.168.161,39906,53,BLOCK
397,3206811,77.72.85.18,42277,46916,BLOCK
398,3206830,77.72.82.135,47039,2256,BLOCK
399,3206975,77.72.85.18,42277,30722,AUDIT
400,3207004,77.72.82.57,56925,3199,BLOCK
401,3207033,77.72.82.57,56936,2583,BLOCK
402,3207040,175.203.35.21,54178,52869,BLOCK
403,3207054,77.72.85.18,42277,42877,BLOCK
404,3207072,5.188.11.25,49629,20514,BLOCK
405,3207085,74.82.47.28,19043,523,BLOCK
406,3207118,77.72.82.22,52866,1648,BLOCK
407,3207131,36.78.129.21,53244,445,AUDIT
408,3207171,184.105.139.92,64210,123,BLOCK
409,3207173,212.47.252.61,5077,5060,BLOCK
410,3207182,77.72.85.18,42277,15671,BLOCK
411,3207217,77.72.82.22,52866,1193,BLOCK
412,3207220,77.72.85.18,42277,33511,BLOCK
413,3207261,1.20.253.34,49700,445,AUDIT
414,3207278,77.72.85.18,42277,58133,BLOCK
415,3207283,142.252.254.239,58494,3389,BLOCK
416,3207284,181.214.87.14,53937,55553,BLOCK
417,3207334,77.72.85.18,42277,12270,BLOCK
418,3207339,104.236.145.154,56812,9529,BLOCK
419,3207371,77.72.85.18,42277,14491,BLOCK
420,3207374,95.215.1.37,55425,1606,AUDIT
421,3207378,81.163.88.11,28691,23,BLOCK
422,3207413,43.226.65.77,6000,3306,BLOCK
423,3207427,77.72.85.18,42277,30436,BLOCK
424,3207428,34.215.144.83,51434,22,AUDIT
425,3207456,77.72.85.18,42277,15574,AUDIT
426,3207490,5.188.10.241,46269,1989,BLOCK
427,3207510,171.88.149.254,46456,1433,BLOCK
428,3207534,77.72.85.18,42277,45715,BLOCK
429,3207536,179.98.31.41,19883,23,BLOCK
430,3207580,77.72.82.80,49418,7455,BLOCK
431,3207601,112.160.73.41,22495,81,BLOCK
432,3207605,85.93.20.34,41623,13387,BLOCK
433,3207639,77.72.85.18,42277,26636,BLOCK
434,3207650,174.6.152.179,15249,22,AUDIT
435,3207651,174.6.152.179,50260,22,AUDIT
436,3207689,171.232.101.230,11555,23,BLOCK
437,3207694,77.72.85.18,42277,50664,BLOCK
438,3207721,171.232.101.230,11555,23,BLOCK
439,3207777,77.72.85.18,42277,29584,BLOCK
440,3207793,103.26.210.183,26304,23,BLOCK
441,3207893,80.82.70.133,34526,2083,BLOCK
442,3207926,77.72.85.18,42277,18401,BLOCK
443,3207969,5.188.86.22,56777,3395,BLOCK
444,3207978,212.129.37.51,5341,5060,BLOCK
445,3208039,77.72.85.18,42277,59998,BLOCK
446,3208046,77.44.36.87,53931,23,BLOCK
447,3208048,179.60.24.123,17082,23,BLOCK
448,3208052,189.78.162.239,62147,23,BLOCK
449,3208099,77.72.85.18,42277,21086,BLOCK
450,3208117,5.188.9.25,41696,8002,BLOCK
451,3208160,77.72.85.18,42277,47696,BLOCK
452,3208195,34.215.144.83,46366,22,AUDIT
453,3208198,198.211.117.56,0,0,ALLOW
454,3208274,119.114.109.0,48659,23,BLOCK
455,3208277,196.52.43.59,6666,3306,BLOCK
456,3208280,119.114.109.0,48659,23,BLOCK
457,3208318,77.72.85.18,42277,5722,BLOCK
458,3208330,5.188.11.25,49629,20529,BLOCK
459,3208385,77.72.85.18,42277,58063,BLOCK
460,3208427,95.215.1.37,40402,4130,BLOCK
461,3208449,77.72.85.18,42277,21117,BLOCK
462,3208477,213.108.128.25,46578,5900,BLOCK
463,3208543,77.72.82.125,59852,1189,BLOCK
464,3208572,77.72.85.18,42277,4616,BLOCK
465,3208614,77.72.82.22,52866,1178,BLOCK
466,3208708,77.72.85.18,42277,54475,BLOCK
467,3208715,196.52.43.97,6666,44818,BLOCK
468,3208733,184.105.247.212,51348,53413,BLOCK
469,3208768,77.72.85.18,42277,34698,BLOCK
470,3208791,181.214.87.11,43150,22222,BLOCK
471,3208807,77.72.85.18,42277,38676,BLOCK
472,3208818,184.105.139.73,58901,177,BLOCK
473,3208830,89.197.1.54,4632,135,BLOCK
474,3208833,77.72.85.18,42277,25295,BLOCK
475,3208836,89.197.1.54,4632,135,BLOCK
476,3208921,77.72.85.18,42277,14027,BLOCK
477,3208924,149.7.208.18,49896,5900,BLOCK
478,3208972,77.72.85.18,42277,40844,BLOCK
479,3208974,77.72.82.135,52004,2271,AUDIT
480,3208990,77.72.85.18,42277,56811,BLOCK
481,3209047,107.170.229.67,41238,138,BLOCK
482,3209089,109.248.9.4,40615,5166,BLOCK
483,3209092,125.212.217.215,55924,5938,BLOCK
484,3209153,77.72.85.18,42277,59439,BLOCK
485,3209155,177.132.170.32,4026,23,BLOCK
486,3209194,77.72.85.18,42277,37458,BLOCK
487,3209244,34.215.144.83,43068,22,AUDIT
488,3209317,89.163.148.82,5119,5060,BLOCK
489,3209402,77.72.82.57,56925,5063,BLOCK
490,3209419,77.72.85.18,42277,20137,BLOCK
491,3209463,77.72.82.57,56925,5078,BLOCK
492,3209464,77.72.85.18,42277,11638,BLOCK
493,3209477,185.35.62.229,60109,1883,BLOCK
494,3209495,77.72.85.18,42277,12485,BLOCK
495,3209548,47.157.32.11,3233,23,BLOCK
496,3209585,77.72.85.18,42277,57554,BLOCK
497,3209600,109.170.142.78,39579,23,BLOCK
498,3209678,77.72.85.18,42277,45112,BLOCK
499,3209687,89.248.168.14,65535,8595,BLOCK
500,3209729,5.101.66.252,50032,3390,BLOCK
501,3209792,77.72.85.18,42277,54766,BLOCK
502,3209806,77.72.82.80,49418,7497,BLOCK
503,3209820,77.72.85.18,42277,19066,BLOCK
504,3209833,5.188.203.114,41871,22,AUDIT
505,3209833,5.188.203.114,41883,22,AUDIT
506,3209850,5.188.203.114,38996,22,AUDIT
507,3209867,181.214.87.14,53937,2666,BLOCK
508,3209874,66.70.129.98,3306,63900,BLOCK
509,3209884,77.72.85.18,42277,59378,BLOCK
510,3209926,36.74.122.184,52381,445,AUDIT
511,3209965,77.72.85.18,42277,59851,BLOCK
512,3209966,85.93.20.34,41623,13389,BLOCK
513,3209969,77.72.85.18,42277,54904,BLOCK
514,3209970,196.52.43.92,6666,50070,BLOCK
515,3209985,191.101.167.99,51317,7816,BLOCK
516,3209992,178.159.37.99,53742,3128,BLOCK
517,3210098,77.72.85.18,42277,32735,BLOCK
518,3210102,187.35.46.239,64391,23,BLOCK
519,3210103,77.72.85.18,42277,30372,BLOCK
520,3210110,117.5.106.41,18712,23,BLOCK
521,3210133,77.72.82.80,49418,7412,BLOCK
522,3210142,198.20.70.114,24185,10001,BLOCK
523,3210144,77.72.85.18,42277,36536,BLOCK
524,3210226,77.72.82.92,49616,11182,BLOCK
525,3210231,221.194.47.243,36118,22,AUDIT
526,3210233,77.72.85.18,42277,43274,BLOCK
527,3210246,198.211.117.56,0,0,ALLOW
528,3210259,46.166.142.60,5102,5060,BLOCK
